202XX1;01;10;08;20; -11
2021;01;12;12;30;-9
2021;01;15;16;45;0
2021;01;20;20;15;-3
2021;01;25;23;59;-2
2021;02;02;04;12;-8
2021;02;05;09;35;-3
2021;02;11;14;22;2
2021;02;18;19;10;3
2021;02;25;22;05;1
2021;03;03;07;45;-4
2021;03;10;11;15;3
2021;03;17;15;30;8
2021;03;24;18;20;12
2021;03;31;21;40;6
2021;04;04;06;15;0
2021;04;09;10;50;5
2021;04;14;14;35;11
2021;04;21;17;10;16
2021;04;28;22;25;9
2021;05;02;05;00;8
2021;05;08;11;20;14
2021;05;15;13;40;21
2021;05;22;16;15;26
2021;05;29;20;30;18
2021;06;03;09;15;15
2021;06;10;12;45;22
2021;06;17;15;35;29
2021;06;24;18;10;33
2021;06;30;21;55;25
2021;07;02;08;00;20
2021;07;09;13;10;27
2021;07;16;16;40;35
2021;07;23;19;25;31
2021;07;30;23;15;24
2021;08;04;07;30;19
2021;08;11;11;05;25
2021;08;18;14;50;32
2021;08;25;18;15;28
2021;08;31;22;10;22
2021;09;03;06;45;12
2021;09;10;10;30;18
2021;09;17;14;20;23
2021;09;24;17;55;21
2021;09;30;21;05;15
2021;10;02;05;20;5
2021;10;09;09;45;11
2021;10;16;13;15;16
2021;10;23;18;00;13
2021;10;30;23;40;8
2021;11;04;04;10;1
2021;11;11;08;35;-3
2021;11;18;12;50;4
2021;11;25;17;15;6
2021;11;30;21;20;2
2021;12;03;07;15;-5
2021;12;10;11;40;-9
2021;12;17;15;10;-2
2021;12;24;19;30;6
2021;12;31;23;30;5